ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
0100BRP90996,bstdjwt,,,Sunderland Place,,,,,,Saint Pauls Road,,,,NE-bound,,NE,E0035590,Clifton,Bristol,,,,,,false,UKOS,357752,173581,-2.60949,51.45962,BCT,MKD,OTH,,,,009,2009-08-25T00:00:00,2016-10-31T10:46:58,10,new,active
0100BRA16908,bstpapj,,,Sunderland Place,,,,,,Saint Pauls Road,,,,SW-bound,,SW,E0035590,Clifton,Bristol,,,,,,false,UKOS,357610,173465,-2.61152,51.45856,BCT,MKD,OTH,,,,009,2007-01-02T00:00:00,2016-10-31T10:46:58,9,new,active
0100BRA16907,bstpapg,,,Clifton Park,,,,,,Pembroke Road,,,,opp,,N,E0035590,Clifton,Bristol,,,,,,false,UKOS,357362,173549,-2.6151,51.4593,BCT,MKD,OTH,,,,009,2005-05-25T00:00:00,2021-11-01T10:37:57,20,new,active
0100BRA16906,bstpapd,,,Clifton Park,,,,,,Pembroke Road,,,,o/s,,S,E0035590,Clifton,Bristol,,,,,,false,UKOS,357403,173494,-2.6145,51.45881,BCT,MKD,OTH,,,,009,2009-07-08T00:00:00,2021-11-01T10:38:21,20,new,active
0100BRP91023,bstdapd,,,Alma Road,,,,,,Pembroke Road,,,,N-bound,,N,E0035590,Clifton,Bristol,,,,,,false,UKOS,357276,173806,-2.61637,51.46161,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2022-02-09T10:00:28,24,new,active
0100BRA16905,bstpapa,,,Alma Road,,,,,,Pembroke Road,,,,S-bound,,S,E0035590,Clifton,Bristol,,,,,,false,UKOS,357303,173752,-2.61597,51.46112,BCT,MKD,OTH,,,,009,2009-07-08T00:00:00,2022-02-09T10:00:53,24,new,active
0100BRP92024,bstdwgd,,,Phoenix Grove,,,,,,Kellaway Avenue,,,,NE-bound,,NE,E0035605,Golden Hill,Bristol,,,,,,false,UKOS,358500,176246,-2.59904,51.48363,BCT,MKD,OTH,,,,009,2007-01-02T00:00:00,2025-01-20T11:44:49,7,new,active
0100BRP92036,bstdwdj,,,Phoenix Grove,,,,,,Kellaway Avenue,,,,SW-bound,,SW,E0035605,Golden Hill,Bristol,,,,,,false,UKOS,358470,176197,-2.59946,51.48319,BCT,MKD,OTH,,,,009,2007-01-02T00:00:00,2020-08-18T16:08:07,22,new,active
0100BRP92034,bstgpjg,,,Wellington Hill,,,,,,Kellaway Avenue,,,,S-bound,,S,N0077032,Horfield Common,Bristol,,,,,,false,UKOS,359062,176681,-2.59099,51.48759,BCT,MKD,OTH,,,,009,2008-09-05T00:00:00,2019-10-09T15:52:38,8,new,active
0100BRP92033,bstdjaw,,,Henley Grove,,,,,,Henleaze Road,,,,S-bound,,S,E0035611,Henleaze,Bristol,,,,,,false,UKOS,357575,176357,-2.61237,51.48456,BCT,MKD,OTH,,,,009,2008-09-05T00:00:00,2016-10-31T10:46:58,4,new,active
